"query.text","query.parsed.housenumber","query.parsed.street","query.parsed.postcode","query.parsed.city","query.parsed.state","query.parsed.expected_type","datasource.sourcename","datasource.attribution","datasource.license","datasource.url","country","country_code","state","county","city","hamlet","postcode","street","housenumber","lon","lat","state_code","district","result_type","formatted","address_line1","address_line2","category","timezone.name","timezone.offset_STD","timezone.offset_STD_seconds","timezone.offset_DST","timezone.offset_DST_seconds","timezone.abbreviation_STD","timezone.abbreviation_DST","plus_code","plus_code_short","rank.importance","rank.popularity","rank.confidence","rank.confidence_city_level","rank.confidence_street_level","rank.match_type","place_id","distance","name","suburb","municipality","village","query.parsed.unit","ref","query.parsed.country","quarter","query.parsed.county"
"1651 S Front St, Marquette, MI 49855","1651","s front st","49855","marquette","mi","building","openstreetmap","© OpenStreetMap contributors","Open Database License","https://www.openstreetmap.org/copyright","United States","us","Michigan","Marquette County","Marquette","","49855","South Front Street","1651","-87.39647624489795","46.53016869387755","MI","","building","1651 South Front Street, Marquette, MI 49855, United States of America","1651 South Front Street","Marquette, MI 49855, United States of America","","America/Detroit","-05:00","-18000","-04:00","-14400","EST","EDT","86RJGJJ3+3C","J3+3C Marquette, Marquette County, United States","-0.74","1.1659431025794682","1","1","1","full_match","51915ee6dd5fd955c05997c85891dc434740f00102f9018897931e00000000c00203","","","","","","","","","",""
"4404 N. M-77 HWY, Germfask, MI 49836","4404","n. m-77 hwy","49836","germfask","mi","building","openstreetmap","© OpenStreetMap contributors","Open Database License","https://www.openstreetmap.org/copyright","United States","us","Michigan","Schoolcraft County","Germfask","","","","","-85.9258299","46.2497082","MI","","city","Germfask (Germfask), MI, United States of America","Germfask (Germfask), MI","United States of America","populated_place","America/Detroit","-05:00","-18000","-04:00","-14400","EST","EDT","86RP63XF+VM","","0.37500999999999995","0.9309675858064144","0.25","1","","match_by_city_or_disrict","512c8a0dcc407b55c05982453470f61f4740f00103f9010a23290900000000c002089203084765726d6661736b","0","Germfask","","Germfask Township","Germfask","","","","",""
"615 W. Main ST, Gaylord, MI 49735","615","w. main st","49735","gaylord","mi","building","openstreetmap","© OpenStreetMap contributors","Open Database License","https://www.openstreetmap.org/copyright","United States","us","Michigan","Otsego County","Gaylord","","49735","West Main Street","615","-84.68139885714285","45.027300571428576","MI","","building","615 West Main Street, Gaylord, MI 49735, United States of America","615 West Main Street","Gaylord, MI 49735, United States of America","","America/Detroit","-05:00","-18000","-04:00","-14400","EST","EDT","86QQ28G9+WC","G9+WC, 49735 Gaylord, United States","-0.74","1.3150381692968969","1","1","1","full_match","5176bdf3099c2b55c05953b9ca957e834640f00102f9013327b64700000000c00203","","","","","","","","","",""
"1101 East Front ST, Buchanan, MI 49107","1101","east front st","49107","buchanan","mi","building","openstreetmap","© OpenStreetMap contributors","Open Database License","https://www.openstreetmap.org/copyright","United States","us","Michigan","Berrien County","Buchanan","","49107","East Front Street","","-86.3544987","41.827442","MI","","street","East Front Street, Buchanan, MI 49107, United States of America","East Front Street","Buchanan, MI 49107, United States of America","","America/Detroit","-05:00","-18000","-04:00","-14400","EST","EDT","86HMRJGW+X6","GW+X6, 49107 Buchanan, United States","0.6100099999999999","1.9846453108082989","0.5","1","1","match_by_street","515ebe501bb09655c0591dab949ee9e94440f00102f9015c62402c00000000c00204920311456173742046726f6e7420537472656574","","East Front Street","","","","","","","",""
"24906 John R RD, Hazel Park, MI 48030","24906","john rd","48030","hazel park","mi","building","openaddresses","© OpenAddresses contributors","BSD-3-Clause License","","United States","us","Michigan","Oakland County","Hazel Park","","48030","John R Road","24906","-83.104255","42.475594","MI","Hazel Park","building","24906 John R Road, Hazel Park, MI 48030, United States of America","24906 John R Road","Hazel Park, MI 48030, United States of America","","America/Detroit","-05:00","-18000","-04:00","-14400","EST","EDT","86JRFVGW+67","GW+67 Hazel Park, Oakland County, United States","","5.010978999711054","1","1","1","full_match","5172dc291dacc654c0594016a243e03c4540c00203e203496f70656e6164647265737365733a616464726573733a75732f6d692f6f616b6c616e642d6164647265737365732d636f756e74792e6373763a36343765373066326133616333396632","","","","","","","","","",""
"15776 M-60 HWY, Bldg , TEKONSHA, MI 49092","","","","","","","openstreetmap","© OpenStreetMap contributors","Open Database License","https://www.openstreetmap.org/copyright","United States","us","Michigan","Calhoun County","Tekonsha","","","","","-84.9858051","42.0933791","MI","","city","Tekonsha, MI, United States of America","Tekonsha, MI","United States of America","administrative","America/Detroit","-05:00","-18000","-04:00","-14400","EST","EDT","86JQ32V7+9M","","0.37500999999999995","1.7080380108732196","0.10467128027681659","1","","full_match","51b82e466e173f55c059a150aad8f30b4540f00101f9013b0f020000000000c00208","0","","","Tekonsha Township","","","","","",""
"880 EAST CHICAGO ST, COLDWATER, MI 49036","880","east chicago st","49036","coldwater","mi","building","openstreetmap","© OpenStreetMap contributors","Open Database License","https://www.openstreetmap.org/copyright","United States","us","Michigan","Branch County","Coldwater","","49036","East Chicago Street","880","-84.9677638367347","41.93516424489796","MI","","building","880 East Chicago Street, Coldwater, MI 49036, United States of America","880 East Chicago Street","Coldwater, MI 49036, United States of America","","America/Detroit","-05:00","-18000","-04:00","-14400","EST","EDT","86HQW2PJ+3V","W2PJ+3V, 49036 Coldwater, United States","-0.74","1.7751536361215396","1","1","1","full_match","51bb41bbd7ef3d55c059d61c4476b3f74440f00102f901819a0e0100000000c00203","","","","","","","","","",""
"1301 South Main ST, Adrian, MI 49221","1301","south main st","49221","adrian","mi","building","openstreetmap","© OpenStreetMap contributors","Open Database License","https://www.openstreetmap.org/copyright","United States","us","Michigan","Lenawee County","Adrian","","49221","South Main Street","1301","-84.04320403174604","41.881973555555554","MI","","building","1301 South Main Street, Adrian, MI 49221, United States of America","1301 South Main Street","Adrian, MI 49221, United States of America","","America/Detroit","-05:00","-18000","-04:00","-14400","EST","EDT","86HQVXJ4+QP","VXJ4+QP, 49221 Adrian, United States","-0.74","2.093387005152448","1","1","1","full_match","51e5d9d7dac30255c05923866c82e4f04440f00102f9016bf5672600000000c00203","","","","Madison Township","","","","","",""
"317 N Mission Street, Mount Pleasant, MI 48858","317","n mission street","48858","mount pleasant","mi","building","openstreetmap","© OpenStreetMap contributors","Open Database License","https://www.openstreetmap.org/copyright","United States","us","Michigan","Isabella County","Mount Pleasant","","48858","North Mission Street","317","-84.76781748979592","43.606555224489796","MI","","building","317 North Mission Street, Mount Pleasant, MI 48858, United States of America","317 North Mission Street","Mount Pleasant, MI 48858, United States of America","","America/Detroit","-05:00","-18000","-04:00","-14400","EST","EDT","86MQJ64J+JV","4J+JV, 48858 Mount Pleasant, United States","-0.74","1.6563524266969183","1","1","1","full_match","5119fef7eb233155c0596833029aa3cd4540f00102f90159ed0f0100000000c00203","","","","","","","","","",""
"2074 M-137, Interlochen, MI 49643","2074","m-137","49643","interlochen","mi","building","openaddresses","© OpenAddresses contributors","BSD-3-Clause License","","United States","us","Michigan","Grand Traverse County","Interlochen","","49643","M 137","2074","-85.768731","44.657689","MI","Green Lake Township","building","2074 M 137, Interlochen, MI 49643, United States of America","2074 M 137","Interlochen, MI 49643, United States of America","","America/Detroit","-05:00","-18000","-04:00","-14400","EST","EDT","86PPM65J+3G","","","1.2635906638205838","1","1","1","full_match","51f81a82e3327155c0592ff834272f544640c00203e203506f70656e6164647265737365733a616464726573733a75732f6d692f6772616e645f74726176657273652d6164647265737365732d636f756e74792e6373763a38353966646236393238333830336161","","","","","","","","","",""
"724 East Main ST, FENNVILLE, MI 49408","724","east main st","49408","fennville","mi","building","openstreetmap","© OpenStreetMap contributors","Open Database License","https://www.openstreetmap.org/copyright","United States","us","Michigan","Allegan County","Fennville","","49408","East Main Street","724","-86.09578626666666","42.59422013333333","MI","","building","724 East Main Street, Fennville, MI 49408, United States of America","724 East Main Street","Fennville, MI 49408, United States of America","","America/Detroit","-05:00","-18000","-04:00","-14400","EST","EDT","86JMHWV3+MM","V3+MM Fennville, Allegan County, United States","-0.74","1.6963053658335714","1","1","1","full_match","5150afb85c218655c0594da5c3670f4c4540f00102f901ac380e0100000000c00203","","","","Manlius Township","","","","","",""
"824 S. Main ST, Lapeer, MI 48446","824","s. main st","48446","lapeer","mi","building","openstreetmap","© OpenStreetMap contributors","Open Database License","https://www.openstreetmap.org/copyright","United States","us","Michigan","Lapeer County","Lapeer","","48446","South Main Street","824","-83.32154140740741","43.0396384074074","MI","","building","824 South Main Street, Lapeer, MI 48446, United States of America","824 South Main Street","Lapeer, MI 48446, United States of America","","America/Detroit","-05:00","-18000","-04:00","-14400","EST","EDT","86MR2MQH+V9","QH+V9 Lapeer, Lapeer County, United States","-0.74","2.026208938332766","1","1","1","full_match","51fa47692294d454c0597bbd0fdf12854540f00102f9015973100100000000c00203","","","","","","","","","",""
"26324 US-12, Edwardsburg, MI 49112","26324","us-12","49112","edwardsburg","mi","building","openstreetmap","© OpenStreetMap contributors","Open Database License","https://www.openstreetmap.org/copyright","United States","us","Michigan","Cass County","Edwardsburg","","49112","US-12","26324","-86.07402046515135","41.79937577913031","MI","","building","26324 US-12, Edwardsburg, MI 49112, United States of America","26324 US-12","Edwardsburg, MI 49112, United States of America","","America/Detroit","-05:00","-18000","-04:00","-14400","EST","EDT","86HMQWXG+Q9","XG+Q9 Edwardsburg, Cass County, United States","-0.8399999999999999","1.969864123666137","1","1","1","full_match","51d34355c0bc8455c059234a0ef251e64440f00102f901feeacc0b00000000c00203","","","","Ontwa Township","","","","","",""
"2384 Shenfield RD, Turner, MI 48765","2384","shenfield rd","48765","turner","mi","building","openstreetmap","© OpenStreetMap contributors","Open Database License","https://www.openstreetmap.org/copyright","United States","us","Michigan","Arenac County","Turner Township","","48765","Shenfield Road","2384","-83.74711438693468","44.15105885929648","MI","","building","2384 Shenfield Road, Turner Township, MI 48765, United States of America","2384 Shenfield Road","Turner Township, MI 48765, United States of America","","America/Detroit","-05:00","-18000","-04:00","-14400","EST","EDT","86PR5723+C5","","-0.8399999999999999","1.221055921542867","1","1","1","full_match","515b90dcb8d0ef54c05987398ee555134640f00102f901b55b0e0100000000c00203","","","","","","","","","",""
"11280 East Michigan AVE, Battle Creek, MI 49014","11280","east michigan ave","49014","battle creek","mi","building","openstreetmap","© OpenStreetMap contributors","Open Database License","https://www.openstreetmap.org/copyright","United States","us","Michigan","Calhoun County","Battle Creek","","49014","East Michigan Avenue","11280","-85.0758383","42.2939377","MI","","amenity","Amsterdam, 11280 East Michigan Avenue, Battle Creek, MI 49014, United States of America","Amsterdam","11280 East Michigan Avenue, Battle Creek, MI 49014, United States of America","commercial.smoking","America/Detroit","-05:00","-18000","-04:00","-14400","EST","EDT","86JP7WVF+HM","7WVF+HM, 49014 Battle Creek, United States","0.41000999999999993","1.7882209081515426","1","1","1","inner_part","513192e288da4455c059de4724c09f254540f00103f90100d843e001000000c00201920309416d7374657264616d","","Amsterdam","","Emmett Charter Township","","","","","",""
"231 S. First ST, Harrison, MI 48625","231","s. first st","48625","harrison","mi","building","openstreetmap","© OpenStreetMap contributors","Open Database License","https://www.openstreetmap.org/copyright","United States","us","Michigan","Clare County","Harrison","","48625","South 1st Street","231","-84.79934157142857","44.018374938775516","MI","","building","231 South 1st Street, Harrison, MI 48625, United States of America","231 South 1st Street","Harrison, MI 48625, United States of America","","America/Detroit","-05:00","-18000","-04:00","-14400","EST","EDT","86PQ2692+87","92+87, 48625 Harrison, United States","-0.74","1.281917884932099","0.4","1","0.4","full_match","519de78c69283355c059ad8d281c5a024640f00102f901422f0f0100000000c00203","","","","","","","","","",""
"2793 Plymouth RD, Suite C, Ann Arbor, MI 48105","2793","plymouth rd","48105","ann arbor","mi","building","openstreetmap","© OpenStreetMap contributors","Open Database License","https://www.openstreetmap.org/copyright","United States","us","Michigan","Washtenaw County","Ann Arbor","","48105","Plymouth Road","2793","-83.70587004040404","42.302650666666665","MI","","building","2793 Plymouth Road, Ann Arbor, MI 48105, United States of America","2793 Plymouth Road","Ann Arbor, MI 48105, United States of America","","America/Detroit","-05:00","-18000","-04:00","-14400","EST","EDT","86JR873V+3M","873V+3M Ann Arbor, Washtenaw County, United States","-0.8399999999999999","3.3626831460592737","1","1","1","full_match","51bdb088f92ced54c05914b9cd41bd264540f00102f901d0a37e3500000000c00203","","","","","","suite c","","","",""
"29 Beardsley RD, Ionia, MI 48846","29","beardsley rd","48846","ionia","mi","building","openstreetmap","© OpenStreetMap contributors","Open Database License","https://www.openstreetmap.org/copyright","United States","us","Michigan","Ionia County","Ionia","Prairie","48846","Beardsley Road","29","-85.030168","42.985375","MI","","building","29 Beardsley Road, Ionia, MI 48846, United States of America","29 Beardsley Road","Ionia, MI 48846, United States of America","","America/Detroit","-05:00","-18000","-04:00","-14400","EST","EDT","86JPXXP9+5W","XXP9+5W Ionia, Ionia County, United States","-0.8399999999999999","1.6855698894688744","1","1","1","full_match","51b058c345ee4155c059e3a59bc4207e4540f00102f90192c30f0100000000c00203","","","","Ionia Township","","","","","",""
"321 E Liberty St, Ann Arbor, MI 48104","321","e liberty st","48104","ann arbor","mi","building","openstreetmap","© OpenStreetMap contributors","Open Database License","https://www.openstreetmap.org/copyright","United States","us","Michigan","Washtenaw County","Ann Arbor","","48104","East Liberty Street","321","-83.74517047659202","42.27969175","MI","Old Fourth Ward","building","321 East Liberty Street, Ann Arbor, MI 48104, United States of America","321 East Liberty Street","Ann Arbor, MI 48104, United States of America","building.residential","America/Detroit","-05:00","-18000","-04:00","-14400","EST","EDT","86JR77H3+VW","H3+VW Ann Arbor, Washtenaw County, United States","0.41000999999999993","4.74765201609904","1","1","1","full_match","5114ba82dfb0ef54c059029b73f0cc234540f00102f9012addbc1a00000000c00203","","","","","","","","","",""
"1096 E. Main St, Suite A, Morenci, MI 49256","1096","e. main st","49256","morenci","mi","building","openstreetmap","© OpenStreetMap contributors","Open Database License","https://www.openstreetmap.org/copyright","United States","us","Michigan","Lenawee County","Morenci","","49256","East Main Street","1096","-84.20272286572194","41.71772621398988","MI","","building","1096 East Main Street, Morenci, MI 49256, United States of America","1096 East Main Street","Morenci, MI 49256, United States of America","","America/Detroit","-05:00","-18000","-04:00","-14400","EST","EDT","86HQPQ9W+3W","PQ9W+3W, 49256 Morenci, United States","-0.74","1.8523142839200377","1","1","1","full_match","51569b5369f90c55c059c248dc73dedb4440f00102f901d288100100000000c00203","","","","","","suite a","","","",""
"6010 B Drive N, Battle Creek, MI 49014","6010","b drive n","49014","battle creek","mi","building","openstreetmap","© OpenStreetMap contributors","Open Database License","https://www.openstreetmap.org/copyright","United States","us","Michigan","Calhoun County","Battle Creek","","49014","B Drive North","6010","-85.1786899387755","42.260965408163266","MI","","building","6010 B Drive North, Battle Creek, MI 49014, United States of America","6010 B Drive North","Battle Creek, MI 49014, United States of America","","America/Detroit","-05:00","-18000","-04:00","-14400","EST","EDT","86JP7R6C+9G","7R6C+9G, 49014 Battle Creek, United States","-0.74","1.8442833598033155","1","1","1","full_match","5190caeca76f4b55c05969b9825067214540f00102f9012b91253600000000c00203","","","","Emmett Charter Township","","","","","",""
